[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,249,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,250,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,251,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,252,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,253,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,254,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,255,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,256,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,257,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,258,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,259,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,260,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,261,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,262,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,263,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,264,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,265,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,266,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,267,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,268,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,269,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,270,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,271,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,272,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,273,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,274,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,275,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,276,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,277,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,278,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,279,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,280,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,281,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,282,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,283,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,284,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,285,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,286,3
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,287,2
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,288,2
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,289,2
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,290,2
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,291,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,292,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,293,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,294,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,295,1
